Uni_ID	Other_Uni_ID	Name	Topology	TM_domain	Subcellular_location	Subcellular_topology	Tag
Q8TDQ1	B2RCL2;C9JDN3;Q3Y6P0;Q6UX24;Q7Z6A6;Q7Z7I4;Q7Z7I5;Q8N6D0;Q8NAF5	CLM1_HUMAN	Extracellular:20-156;Cytoplasmic:178-290	157-177	Cell membrane	Single-pass type I membrane protein	Cell_surface:TM
P56747	B3KQP9;D3DUA5	CLD6_HUMAN	Cytoplasmic:1-7;Extracellular:29-81;Cytoplasmic:103-116;Extracellular:138-160;Cytoplasmic:182-220	8-28;82-102;117-137;161-181	Cell junction;Tight junction;Cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q9Y696	Q9UFW9;Q9UQJ6	CLIC4_HUMAN		37-57	Cytoplasm;Cytoskeleton;Microtubule organizing center;Centrosome;Cytoplasmic vesicle membrane;Nucleus matrix;Cell membrane;Mitochondrion;Cell junction	Single-pass membrane protein	Cell_surface:Other
Q6UXG3	B4DNY5;F5H7P9;F8W9M3;Q8IX38;Q8IX39;Q8TA95	CLM9_HUMAN	Extracellular:19-247;Cytoplasmic:269-332	248-268	Apical cell membrane;Basolateral cell membrane;Endosome;Multivesicular body membrane	Single-pass type I membrane protein	Cell_surface:TM
Q496F6	B4DNS1;Q7Z7I3	CLM2_HUMAN	Extracellular:18-173;Cytoplasmic:195-205	174-194	Cell membrane	Single-pass type I membrane protein	Cell_surface:TM
O75503	B3KQK7	CLN5_HUMAN	Cytoplasmic:1-23;Lumenal:42-358	24-41	Lysosome;Membrane	Single-pass type II membrane protein	Membrane_protein
Q96KA5	D3DTC1;Q658W6;Q7LG29;Q96AZ0;Q9H3N4	CLP1L_HUMAN	Cytoplasmic:1-10;Extracellular:32-284;Cytoplasmic:306-324;Extracellular:343-346;Cytoplasmic:365-402;Extracellular:424-428;Cytoplasmic:450-538	11-31;285-305;325-342;347-364;403-423;429-449	Membrane	Multi-pass membrane protein	Cell_surface:TM
Q96JQ2	B2RAR7;Q9H713;Q9HA23;Q9HA57;Q9UFP4;Q9ULN2	CLMN_HUMAN		977-997	Membrane	Single-pass type IV membrane protein	Membrane_protein
Q96DZ5	A8K0E4;Q8WWL1;Q96C99;Q9UFT7	CLIP3_HUMAN			Cell membrane;Cytoplasm;Golgi apparatus;Golgi stack	Lipid-anchor	Cell_surface:Other
Q9NZA1	B3KUF1;Q5T4Z0;Q8NBY3;Q96JT5;Q9BWZ0	CLIC5_HUMAN		193-213	Cytoplasm;Cytoskeleton;Cell cortex;Membrane;Apical cell membrane;Golgi apparatus;Microtubule organizing center;Centrosome	Single-pass membrane protein	Cell_surface:Other
Q6UXZ3		CLM5_HUMAN	Extracellular:19-165;Cytoplasmic:187-194	166-186	Cell membrane	Single-pass type I membrane protein	Cell_surface:TM
Q00610	D3DU00;Q6N0A0;Q86TF2	CLH1_HUMAN			Cytoplasmic vesicle membrane;Membrane;Coated pit;Melanosome;Cytoplasm;Cytoskeleton;Spindle	Peripheral membrane protein	Membrane_protein
Q9H6B4		CLMP_HUMAN	Extracellular:19-235;Cytoplasmic:257-373	236-256	Cell junction;Tight junction;Cell membrane	Single-pass type I membrane protein	Cell_surface:TM
Q9NWW5	A8K560;B4DDH6;Q6IAB1;Q96SR0	CLN6_HUMAN		56-76;81-101;111-131;179-199;204-224;225-245;260-280	Endoplasmic reticulum membrane;Endoplasmic reticulum	Multi-pass membrane protein	Membrane_protein
Q08708		CLM6_HUMAN	Extracellular:21-183;Cytoplasmic:205-224	184-204	Cell membrane	Single-pass type I membrane protein	Cell_surface:TM
Q96NY7	A8K0U8;Q8IX31	CLIC6_HUMAN		489-509	Cytoplasm;Cell membrane	Single-pass membrane protein	Cell_surface:Other
A8K4G0	Q1EG73;Q8IX40;Q8N6D1	CLM7_HUMAN	Extracellular:18-151;Cytoplasmic:173-201	152-172	Cell membrane	Single-pass type I membrane protein	Cell_surface:TM
Q9UBY8	Q86U71;Q96I95	CLN8_HUMAN		21-41;62-84;103-123;131-151;226-246	Endoplasmic reticulum membrane;Endoplasmic reticulum-Golgi intermediate compartment membrane;Endoplasmic reticulum	Multi-pass membrane protein	Membrane_protein
O00299	Q15089;Q502X1	CLIC1_HUMAN		26-46	Nucleus;Nucleus membrane;Cytoplasm;Cell membrane	Single-pass membrane protein	Cell_surface:Other
Q13286	B2R7J1;B4DXL3;O00668;O95089;Q549S9;Q9UP09;Q9UP11;Q9UP12;Q9UP13;Q9UP14	CLN3_HUMAN	Cytoplasmic:1-37;Lumenal:59-127;Cytoplasmic:149-151;Lumenal:173-182;Cytoplasmic:204-277;Lumenal:299-346;Cytoplasmic:368-438	38-58;128-148;152-172;183-203;278-298;347-367	Lysosome membrane;Late endosome;Lysosome;Golgi apparatus;Golgi apparatus membrane;Golgi stack;Trans-Golgi network;Cell membrane;Recycling endosome;Membrane raft;Membrane;Caveola;Early endosome membrane;Cell junction;Synapse;Synaptosome;Late endosome membrane;Cytoplasmic vesicle;Autophagosome	Multi-pass membrane protein	Cell_surface:Other
Q9H078	B4DXJ7;B4DXP7;B4DXW4;E7EWN6;F8W7P6;Q8ND11;Q9H8Y0	CLPB_HUMAN			Mitochondrion intermembrane space		Membrane_protein
O96005	B3KQH2;B4DDS3;B4E2X9;B7Z9X9;F5H8J3;Q53ET6;Q9BSS5	CLPT1_HUMAN	Extracellular:2-354;Cytoplasmic:376-390;Extracellular:412-416;Cytoplasmic:438-477;Extracellular:499-502;Cytoplasmic:524-669	355-375;391-411;417-437;478-498;503-523	Membrane	Multi-pass membrane protein	Cell_surface:TM
P58418	D3DNJ3;E1ACU9;Q8N6A9	CLRN1_HUMAN		8-28;101-121;135-155;186-206	Cell membrane	Multi-pass membrane protein	Cell_surface:Other
Q9NS75	Q9HCQ2	CLTR2_HUMAN	Extracellular:1-42;Cytoplasmic:64-72;Extracellular:94-123;Cytoplasmic:145-153;Extracellular:175-204;Cytoplasmic:226-245;Extracellular:267-286;Cytoplasmic:308-346	43-63;73-93;124-144;154-174;205-225;246-266;287-307	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
A0PK11		CLRN2_HUMAN		10-30;101-121;139-159;188-208	Cell projection;Stereocilium membrane	Multi-pass membrane protein	Membrane_protein
Q8NCR9	Q6MZX8	CLRN3_HUMAN		8-28;92-112;129-149;181-201	Membrane	Multi-pass membrane protein	Membrane_protein
Q9HBJ8	B2R9M1;Q6UW07	CLTRN_HUMAN	Extracellular:15-141;Cytoplasmic:163-222	142-162	Cell membrane	Single-pass type I membrane protein	Cell_surface:TM
Q9Y271	B2R954;D3DTE4;Q5JS94;Q8IV19	CLTR1_HUMAN	Extracellular:1-28;Cytoplasmic:50-57;Extracellular:79-106;Cytoplasmic:128-141;Extracellular:163-193;Cytoplasmic:215-230;Extracellular:252-276;Cytoplasmic:298-337	29-49;58-78;107-127;142-162;194-214;231-251;277-297	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
P10909	B2R9Q1;B3KSE6;P11380;P11381;Q2TU75;Q5HYC1;Q7Z5B9	CLUS_HUMAN			Secreted;Cytoplasm;Nucleus;Mitochondrion membrane;Cytosol;Microsome;Endoplasmic reticulum;Mitochondrion;Perinuclear region;Cytoplasmic vesicle;Secretory vesicle;Chromaffin granule	Peripheral membrane protein	Membrane_protein
Q8IUQ0	B2R7M5;C8UZT3;Q8NB32	CLVS1_HUMAN			Golgi apparatus;Trans-Golgi network membrane;Cytoplasmic vesicle;Clathrin-coated vesicle;Early endosome membrane	Peripheral membrane protein	Membrane_protein
Q5SYC1	B3KTG5;B4DHL0;C8UZT4;Q5SYC0	CLVS2_HUMAN			Golgi apparatus;Trans-Golgi network membrane;Cytoplasmic vesicle;Clathrin-coated vesicle;Early endosome membrane	Peripheral membrane protein	Membrane_protein
Q9UJS0	O14566;O14575;Q546F9;Q9NZW1;Q9UNI7	CMC2_HUMAN		332-349;393-412;436-449;485-504;524-541;581-600	Mitochondrion inner membrane	Multi-pass membrane protein	Membrane_protein
Q99788	A8K6Y5;O75748;Q3KP37;Q5U0H0;Q99789	CML1_HUMAN	Extracellular:1-41;Cytoplasmic:65-75;Extracellular:98-114;Cytoplasmic:136-154;Extracellular:177-224;Cytoplasmic:246-261;Extracellular:283-300;Cytoplasmic:321-373	42-64;76-97;115-135;155-176;225-245;262-282;301-320	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
O75746	B3KR64;Q96AM8	CMC1_HUMAN		330-347;391-410;434-447;483-502;522-539;579-598	Mitochondrion inner membrane	Multi-pass membrane protein	Membrane_protein
P46091	A5JUU6;A8K4L1;Q53TR9;Q6NVX4	CML2_HUMAN	Extracellular:1-41;Cytoplasmic:63-73;Extracellular:95-112;Cytoplasmic:134-154;Extracellular:176-210;Cytoplasmic:232-247;Extracellular:269-286;Cytoplasmic:308-355	42-62;74-94;113-133;155-175;211-231;248-268;287-307	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
P09543		CN37_HUMAN			Membrane;Melanosome	Lipid-anchor	Membrane_protein
O95476	D3DTN7;Q96GQ9	CNEP1_HUMAN		7-29	Endoplasmic reticulum membrane;Nucleus membrane	Single-pass membrane protein	Membrane_protein
Q9NPU4	B2R7K5	CN132_HUMAN		58-78	Membrane	Single-pass membrane protein	Membrane_protein
Q86U02		CN165_HUMAN		38-58	Membrane	Single-pass membrane protein	Membrane_protein
Q6PI25		CNIH2_HUMAN	Cytoplasmic:1-10;Lumenal:32-72;Cytoplasmic:94-138;Lumenal:160-160	11-31;73-93;139-159	Endoplasmic reticulum membrane;Cell junction;Synapse;Postsynaptic cell membrane;Cell projection;Dendrite;Dendritic spine;Postsynaptic density	Multi-pass membrane protein	Cell_surface:Other
Q86VU5	Q8TE79	CMTD1_HUMAN		12-32	Membrane	Single-pass type II membrane protein	Membrane_protein
Q8TBE1		CNIH3_HUMAN	Cytoplasmic:1-10;Lumenal:32-72;Cytoplasmic:94-138;Lumenal:160-160	11-31;73-93;139-159	Cell junction;Synapse;Postsynaptic cell membrane	Multi-pass membrane protein	Cell_surface:Other
Q16281	E9PF93;Q4VAP7;Q53RD2;Q6ZNA7;Q9UP64	CNGA3_HUMAN	Cytoplasmic:1-166;Extracellular:188-199;Cytoplasmic:221-252;Extracellular:274-302;Cytoplasmic:324-378;Extracellular:400-481;Cytoplasmic:503-694	167-187;200-220;253-273;303-323;379-399;482-502	Membrane	Multi-pass membrane protein	Cell_surface:TM
Q969H4	B1AMW9;O95381	CNKR1_HUMAN			Cytoplasm;Membrane	Peripheral membrane protein	Membrane_protein
Q9P003	A8K1Q8;B2R553;Q9H0X8	CNIH4_HUMAN		5-25;57-77;118-138	Membrane;Endoplasmic reticulum;Endoplasmic reticulum-Golgi intermediate compartment	Multi-pass membrane protein	Membrane_protein
Q8IV77		CNGA4_HUMAN	Cytoplasmic:1-33;Extracellular:55-65;Cytoplasmic:87-112;Extracellular:134-168;Cytoplasmic:190-217;Extracellular:235-244;Cytoplasmic:266-575	34-54;66-86;113-133;169-189;218-234;245-265	Membrane	Multi-pass membrane protein	Cell_surface:TM
Q9H8M5	Q5T569;Q5T570;Q8WU59;Q9H952;Q9NRK5;Q9NXT4	CNNM2_HUMAN	Extracellular:1-250;Cytoplasmic:272-313;Cytoplasmic:335-338;Extracellular:360-368;Cytoplasmic:390-875	251-271;339-359;369-389	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q8WXI2	B4DGR4;B7ZLJ1;B9EG83;E7ESA4;O94976;Q5JPK4;Q5JPN0;Q8WXI1	CNKR2_HUMAN			Cytoplasm;Membrane	Peripheral membrane protein	Membrane_protein
P29973	A8K7K6;J3KPZ2;Q16279;Q16485;Q4W5E3	CNGA1_HUMAN	Cytoplasmic:1-160;Extracellular:182-194;Cytoplasmic:214-235;Extracellular:256-262;Cytoplasmic:285-295;Extracellular:323-365;Cytoplasmic:398-686	161-181;195-213;236-255;263-284;296-322;366-397	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
O95406	Q3SYM7	CNIH1_HUMAN	Cytoplasmic:1-10;Lumenal:32-56;Cytoplasmic:78-122;Lumenal:144-144	11-31;57-77;123-143	Endoplasmic reticulum membrane;Golgi apparatus membrane	Multi-pass membrane protein	Membrane_protein
Q6P9H4	C9IZX4;Q5SGD5;Q96N65	CNKR3_HUMAN			Cytoplasm;Apical cell membrane	Peripheral membrane protein	Cell_surface:Other
Q8NE01	B3KX67;Q8TBV4;Q96IW4;Q9NRK4;Q9NXW6	CNNM3_HUMAN		11-27;193-213;221-241;261-281	Cell membrane	Multi-pass membrane protein	Cell_surface:Other
Q16280	A0AVD0	CNGA2_HUMAN	Cytoplasmic:1-138;Extracellular:160-171;Cytoplasmic:193-224;Extracellular:246-274;Cytoplasmic:296-350;Extracellular:372-453;Cytoplasmic:475-662	139-159;172-192;225-245;275-295;351-371;454-474	Membrane	Multi-pass membrane protein	Cell_surface:TM
Q14028	H3BN09;O43636;Q13059;Q14029;Q9UMG2	CNGB1_HUMAN	Cytoplasmic:343-656;Extracellular:676-689;Cytoplasmic:709-733;Extracellular:754-790;Cytoplasmic:814-857;Extracellular:878-961;Cytoplasmic:983-1251	657-675;690-708;734-753;791-813;858-877;962-982	Membrane	Multi-pass membrane protein	Cell_surface:TM
Q9NQW8	C9JA51;Q9NRE9	CNGB3_HUMAN	Cytoplasmic:1-216;Extracellular:238-250;Cytoplasmic:272-302;Extracellular:324-359;Cytoplasmic:381-417;Extracellular:439-504;Cytoplasmic:526-809	217-237;251-271;303-323;360-380;418-438;505-525	Membrane	Multi-pass membrane protein	Cell_surface:TM
Q6P4Q7	B7Z1U0;C7SQM3;C7SQM4;C7SQM5;Q53RE5;Q9H9G3;Q9HCI0;Q9NRN1	CNNM4_HUMAN	Extracellular:1-178;Cytoplasmic:200-240;Cytoplasmic:262-264;Extracellular:286-293;Cytoplasmic:317-775	179-199;265-285;294-316	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q9NRU3	Q4QQG7;Q4QQH8;Q4QQP9;Q9NT45	CNNM1_HUMAN		23-43;222-242;282-302;321-341	Cell membrane	Multi-pass membrane protein	Cell_surface:Other
Q9BV87	B2RC77;O75548;Q9H4N0;Q9UQN0	CNPD1_HUMAN		233-253	Membrane	Single-pass membrane protein	Membrane_protein
O75829	Q5TAM4;Q8TAY6;Q9UM18	CNMD_HUMAN		45-65	Secreted;Extracellular space;Extracellular matrix;Endomembrane system	Single-pass membrane protein	Membrane_protein
P34972	C6ES44;Q4VBK8;Q5JRH7;Q6B0G7;Q6NSY0	CNR2_HUMAN	Extracellular:1-33;Cytoplasmic:60-71;Extracellular:93-104;Cytoplasmic:130-149;Extracellular:173-188;Cytoplasmic:215-246;Extracellular:268-279;Cytoplasmic:302-360	34-59;72-92;105-129;150-172;189-214;247-267;280-301	Cell membrane;Cell projection;Dendrite;Perikaryon	Multi-pass membrane protein	Cell_surface:TM
Q96NU0	A0A087WUH3;B1B0V7;B1B0V8;B1B0V9;B1B0W0;B1B0X8;B1B162;Q4VXF0;Q9H7W3	CNT3B_HUMAN	Extracellular:26-1245;Cytoplasmic:1267-1288	1246-1266	Membrane	Single-pass type I membrane protein	Cell_surface:TM
P26992	Q5U050	CNTFR_HUMAN			Cell membrane	Lipid-anchor;GPI-anchor	Cell_surface:Other
P21554	B2R9T4;E1P512;Q13949;Q495Z0;Q4PLI4;Q4VBM6;Q5JVL5;Q5UB37;Q9UNN0	CNR1_HUMAN	Extracellular:1-116;Cytoplasmic:143-154;Extracellular:176-187;Cytoplasmic:213-232;Extracellular:256-273;Cytoplasmic:300-344;Extracellular:366-377;Cytoplasmic:400-472	117-142;155-175;188-212;233-255;274-299;345-365;378-399	Cell membrane;Membrane raft;Mitochondrion outer membrane;Cell projection;Axon;Cell junction;Synapse;Presynapse	Multi-pass membrane protein	Cell_surface:TM
Q9UQ52	Q2KHM2	CNTN6_HUMAN			Cell membrane	Lipid-anchor;GPI-anchor	Cell_surface:Other
Q12860	A8K0H9;A8K0Y3;Q12861;Q14030;Q7M4P0;Q8N466	CNTN1_HUMAN			Cell membrane	Lipid-anchor;GPI-anchor	Cell_surface:Other
P78357		CNTP1_HUMAN	Extracellular:20-1283;Cytoplasmic:1305-1384	1284-1304	Membrane;Cell junction;Paranodal septate junction	Single-pass type I membrane protein	Cell_surface:TM
Q6PJW8	Q5VSY9;Q5VTM7;Q8IYA9;Q8N3L5;Q8NB09;Q8TEI2;Q96MR5	CNST_HUMAN	Cytoplasmic:1-664;Extracellular:686-725	665-685	Cell membrane;Golgi apparatus;Trans-Golgi network membrane;Cytoplasmic vesicle;Secretory vesicle	Single-pass membrane protein	Cell_surface:TM
Q02246	P78432;Q5T054	CNTN2_HUMAN			Cell membrane	Lipid-anchor;GPI-anchor	Cell_surface:Other
Q9P232	B9EK50;Q9H039	CNTN3_HUMAN			Cell membrane	Lipid-anchor;GPI-anchor	Cell_surface:Other
Q9UHC6	D3DWG2;Q14DG2;Q52LV1;Q5H9Q7;Q9UQ12	CNTP2_HUMAN	Extracellular:28-1262;Cytoplasmic:1284-1331	1263-1283	Membrane;Cell projection;Axon;Cell junction;Paranodal septate junction	Single-pass type I membrane protein	Cell_surface:TM
Q8IWV2	B2RAX3;Q8IX14;Q8TC35	CNTN4_HUMAN			Cell membrane;Secreted	Lipid-anchor;GPI-anchor	Cell_surface:Other
Q9BZ76	B1AMA0;Q9C0E9	CNTP3_HUMAN	Extracellular:26-1245;Cytoplasmic:1267-1288	1246-1266	Cell membrane;Secreted	Single-pass type I membrane protein	Cell_surface:TM
Q9C0A0	E9PFZ6;Q86YZ7	CNTP4_HUMAN	Extracellular:26-1241;Cytoplasmic:1263-1308	1242-1262	Cell junction;Synapse;Presynaptic cell membrane	Single-pass type I membrane protein	Cell_surface:TM
P08572	Q14052;Q548C3;Q5VZA9;Q66K23	CO4A2_HUMAN			Secreted;Extracellular space;Extracellular matrix;Basement membrane		Membrane_protein
O94779	A1L4P0;B7ZM07;E9PKE8;O94780;Q49AF3	CNTN5_HUMAN			Cell membrane	Lipid-anchor;GPI-anchor	Cell_surface:Other
Q8WYK1	Q4ZFW2;Q4ZG21;Q53R09;Q53RX1;Q53SG3;Q584P3;Q96MS7	CNTP5_HUMAN	Extracellular:25-1237;Cytoplasmic:1259-1306	1238-1258	Membrane	Single-pass type I membrane protein	Cell_surface:TM
Q01955	Q53QQ1;Q53R14;Q53RW8;Q9BQT2;Q9NYC4;Q9UDJ9;Q9UDK9;Q9UDL0;Q9UDL1	CO4A3_HUMAN			Secreted;Extracellular space;Extracellular matrix;Basement membrane		Membrane_protein
P25067	Q5JV31;Q8TEJ5	CO8A2_HUMAN			Secreted;Extracellular space;Extracellular matrix;Basement membrane		Membrane_protein
P07357	A2RUI4;A2RUI5;Q13668;Q9H130	CO8A_HUMAN			Secreted;Cell membrane	Multi-pass membrane protein	Cell_surface:Other
P53420	A8MTZ1;Q53RW9;Q53S42;Q53WR1	CO4A4_HUMAN			Secreted;Extracellular space;Extracellular matrix;Basement membrane		Membrane_protein
Q9Y2R0	A8K498	COA3_HUMAN	Mitochondrial matrix:2-57;Mitochondrial intermembrane:79-106	58-78	Mitochondrion inner membrane	Single-pass membrane protein	Membrane_protein
P02462	A7E2W4;B1AM70;F5H5K0;Q1P9S9;Q5VWF6;Q86X41;Q8NF88;Q9NYC5	CO4A1_HUMAN			Secreted;Extracellular space;Extracellular matrix;Basement membrane		Membrane_protein
Q5JTJ3	Q5JTJ2;Q5JTJ4;Q8TA88	COA6_HUMAN			Mitochondrion intermembrane space		Membrane_protein
P02748		CO9_HUMAN		314-330;335-354	Secreted;Target cell membrane	Multi-pass membrane protein	Cell_surface:Other
Q02388	Q14054;Q16507	CO7A1_HUMAN			Secreted;Extracellular space;Extracellular matrix;Basement membrane		Membrane_protein
P29400	Q16006;Q16126;Q6LD84;Q7Z700;Q9NUB7	CO4A5_HUMAN			Secreted;Extracellular space;Extracellular matrix;Basement membrane		Membrane_protein
Q14031	Q12823;Q14053;Q5JYH6;Q5JYH8;Q9NQM5;Q9NTX3;Q9UJ76;Q9UMG6;Q9Y4L4	CO4A6_HUMAN			Secreted;Extracellular space;Extracellular matrix;Basement membrane		Membrane_protein
Q96BR5	Q0P6I7;Q9H9Z9	COA7_HUMAN			Mitochondrion intermembrane space		Membrane_protein
Q9GZY4	A6NJU8;A8KAH8;Q9HAB7;Q9NVD2	COA1_HUMAN	Mitochondrial matrix:1-14;Mitochondrial intermembrane:38-146	15-37	Mitochondrion inner membrane	Single-pass membrane protein	Membrane_protein
P12110	Q13909;Q13910;Q13911;Q14048;Q14049;Q16259;Q16597;Q6P0Q1;Q9UML3;Q9Y4S8	CO6A2_HUMAN			Secreted;Extracellular space;Extracellular matrix;Membrane	Peripheral membrane protein	Membrane_protein
P27658	D3DN42;Q53XI6;Q96D07	CO8A1_HUMAN			Secreted;Extracellular space;Extracellular matrix;Basement membrane		Membrane_protein
Q96IL0	H7C2Z1;Q53G28	COA8_HUMAN			Mitochondrion inner membrane	Peripheral membrane protein	Membrane_protein
O75128	A4D257;A7E2B0;B7ZLW9;B9EGF8;Q2T9J3;Q504Y4;Q86XA7;Q8N304;Q8TCM1	COBL_HUMAN			Cell membrane;Cytoplasm;Cytoskeleton;Cell projection;Ruffle	Peripheral membrane protein	Cell_surface:Other
Q5TAT6	A6NFR5;B9EGD2;E7EWL8;Q13992;Q13993;Q13994;Q13995;Q13996;Q5TAT4;Q5TAT5;Q7KZ33;Q7KZ49;Q99228;Q9NQ52	CODA1_HUMAN	Cytoplasmic:1-44;Extracellular:62-717	45-61	Cell membrane;Cell junction;Synapse;Postsynaptic cell membrane	Single-pass type II membrane protein	Cell_surface:TM
P23528	B3KUQ1;Q53Y87;Q9UCA2	COF1_HUMAN			Nucleus matrix;Cytoplasm;Cytoskeleton;Cell projection;Ruffle membrane;Lamellipodium membrane;Lamellipodium;Growth cone;Axon	Peripheral membrane protein	Membrane_protein
Q9H9E3	B4DMN8;C9JS23;Q96D40;Q9BRF0;Q9BVZ2;Q9H5Y4;Q9Y3W3	COG4_HUMAN			Cytoplasm;Cytosol;Golgi apparatus membrane	Peripheral membrane protein	Membrane_protein
Q96MW5	Q0VAK2;Q8WVV6;Q9H6F8	COG8_HUMAN			Golgi apparatus membrane	Peripheral membrane protein	Membrane_protein
Q8WTW3	Q9NPV9;Q9P2G6	COG1_HUMAN			Golgi apparatus membrane	Peripheral membrane protein	Membrane_protein
Q96JB2	B2RAW5;Q5VT70;Q8IXX4;Q9BZ92	COG3_HUMAN			Golgi apparatus;Golgi stack membrane	Peripheral membrane protein	Membrane_protein
Q9Y2V7	Q5T0U1;Q6AI19;Q86V49;Q9ULT5	COG6_HUMAN			Golgi apparatus membrane	Peripheral membrane protein	Membrane_protein
Q9UP83	A4D0R6;A4D0R7;O14555;O95008;Q6NUL5	COG5_HUMAN			Cytoplasm;Cytosol;Golgi apparatus membrane	Peripheral membrane protein	Membrane_protein
P83436	Q6UWU7	COG7_HUMAN			Golgi apparatus membrane	Peripheral membrane protein	Membrane_protein
Q14746	Q86U99	COG2_HUMAN			Golgi apparatus membrane	Peripheral membrane protein	Membrane_protein
P39060	A8MVI4;Q58EX6;Q6RZ39;Q6RZ40;Q6RZ41;Q8N4S4;Q8WXI5;Q96T70;Q9UK38;Q9Y6Q7;Q9Y6Q8	COIA1_HUMAN			Secreted;Extracellular space;Extracellular matrix;Basement membrane		Membrane_protein
Q6ZS62		COLC1_HUMAN		77-97	Membrane	Single-pass membrane protein	Membrane_protein
Q9UMD9	Q02802;Q5JV36;Q99018;Q9NQK9;Q9UC14	COHA1_HUMAN	Cytoplasmic:1-467;Extracellular:489-1497	468-488	Cell junction;Hemidesmosome;Membrane;Secreted;Extracellular space;Extracellular matrix;Basement membrane	Single-pass type II membrane protein	Cell_surface:TM
Q5KU26	Q6P9F2;Q8TCR2;Q8WZA4;Q9BY85;Q9BYH7	COL12_HUMAN	Cytoplasmic:1-37;Extracellular:59-742	38-58	Membrane	Single-pass type II membrane protein	Cell_surface:TM
Q8N668	B4DFQ4;Q96GS0	COMD1_HUMAN			Nucleus;Cytoplasm;Endosome membrane;Cytoplasmic vesicle;Early endosome;Recycling endosome		Membrane_protein
Q86Y22	Q8IVR4;Q9NT93	CONA1_HUMAN	Cytoplasmic:1-34;Extracellular:57-540	35-56	Cell membrane	Single-pass type II membrane protein	Cell_surface:TM
P21964	A8MPV9;Q6IB07;Q6ICE6;Q9BWC7	COMT_HUMAN	Cytoplasmic:1-6;Extracellular:27-271	7-26	Cytoplasm;Cell membrane	Single-pass type II membrane protein	Cell_surface:TM
Q9BXS0	A8MPZ6;Q9BXR9	COPA1_HUMAN	Cytoplasmic:1-33;Extracellular:55-654	34-54	Membrane	Single-pass type II membrane protein	Cell_surface:TM
P48444	B4E1X2;E9PEU4;Q52M80	COPD_HUMAN			Cytoplasm;Golgi apparatus membrane;Cytoplasmic vesicle;COPI-coated vesicle membrane	Peripheral membrane protein	Membrane_protein
O14579	A6NE29;A6NKA3;O76097;Q6IBB8;Q9UGP6	COPE_HUMAN			Cytoplasm;Golgi apparatus membrane;Cytoplasmic vesicle;COPI-coated vesicle membrane	Peripheral membrane protein	Membrane_protein
P35606	B4DZI8	COPB2_HUMAN			Cytoplasm;Cytosol;Golgi apparatus membrane;Cytoplasmic vesicle;COPI-coated vesicle membrane	Peripheral membrane protein	Membrane_protein
P53618	D3DQX0;Q6GTT7;Q9NTK2;Q9UNW7	COPB_HUMAN			Cytoplasm;Golgi apparatus membrane;Cytoplasmic vesicle;COPI-coated vesicle membrane;Cell membrane;Endoplasmic reticulum-Golgi intermediate compartment	Peripheral membrane protein	Cell_surface:Other
O15431	A8K8Z6;Q53GR5;Q5T1M4	COPT1_HUMAN	Extracellular:1-61;Cytoplasmic:83-132;Extracellular:154-156;Cytoplasmic:178-190	62-82;133-153;157-177	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
P53621	Q5T201;Q8IXZ9	COPA_HUMAN			Cytoplasm;Golgi apparatus membrane;Cytoplasmic vesicle;COPI-coated vesicle membrane;Secreted	Peripheral membrane protein	Membrane_protein
Q9Y678	A8K6M8;B3KMF6;Q54AC4	COPG1_HUMAN			Cytoplasm;Golgi apparatus membrane;Cytoplasmic vesicle;COPI-coated vesicle membrane	Peripheral membrane protein	Membrane_protein
P61923	B4DDX8;B4DHZ0;F8VS17;F8VWL5;Q549N6;Q9Y3C3	COPZ1_HUMAN			Cytoplasm;Golgi apparatus membrane;Cytoplasmic vesicle;COPI-coated vesicle membrane	Peripheral membrane protein	Membrane_protein
O15432		COPT2_HUMAN		23-43;94-114;120-140	Membrane	Multi-pass membrane protein	Membrane_protein
Q9UBF2	A6NH74;Q2NLA0;Q54AC3;Q8WVW8	COPG2_HUMAN			Cytoplasm;Cytosol;Golgi apparatus membrane;Cytoplasmic vesicle;COPI-coated vesicle membrane	Peripheral membrane protein	Membrane_protein
Q9P299		COPZ2_HUMAN			Cytoplasm;Endoplasmic reticulum-Golgi intermediate compartment membrane;Golgi apparatus membrane;Cytoplasmic vesicle;COPI-coated vesicle membrane	Peripheral membrane protein	Membrane_protein
Q9NZJ6	B3KPX0;Q5T061;Q6P4F0;Q8IXG6;Q96BG1;Q9H0N1	COQ3_HUMAN			Mitochondrion inner membrane	Peripheral membrane protein	Membrane_protein
Q9Y3A0	A8WBK8;B2R958;Q5T4B8;Q96EW4	COQ4_HUMAN			Mitochondrion inner membrane	Peripheral membrane protein	Membrane_protein
Q5HYK3	B2RDU9;B3GK62;B4DEJ4;Q32Q28;Q53HH0;Q96LV1;Q9BSP8	COQ5_HUMAN			Mitochondrion inner membrane	Peripheral membrane protein	Membrane_protein
